name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,predicted_points
Robert Sánchez,GK,Chelsea,5.0,0,3,40,1,0.0,185,0.0,0.0,0.0,1.78,32,0,0,6.6,66.2,2024-09-14T19:00:00Z,90,False,3,0,0,1,0,4,7,436336,1,1,0,0,15,37449,95910,58461,45,False,1,4,11.396759168691291
Matthijs de Ligt,DEF,Man Utd,5.8,0,3,51,1,10.6,593,0.0,0.41,0.41,1.12,38,0,1,10.8,61.0,2024-09-14T11:30:00Z,86,False,17,0,0,0,0,4,0,316358,1,3,0,36,15,-27817,21953,49770,50,False,0,4,15.283434317439303
Cristian Romero,DEF,Spurs,8.0,0,2,53,1,17.3,498,0.3,0.83,0.53,1.0,19,0,1,13.4,63.0,2024-08-24T14:00:00Z,90,False,8,0,0,0,0,2,0,490910,1,0,4,54,14,-3157,31903,35060,50,True,0,2,15.18424436021081
Marc Cucurella Saseta,DEF,Chelsea,5.8,0,3,49,1,10.9,163,0.06,0.43,0.37,0.72,268,0,1,8.8,56.0,2025-02-25T20:15:00Z,90,False,17,0,0,0,0,27,0,805833,1,0,4,21,15,120093,136860,16767,51,True,0,27,14.88649083539773
Cole Palmer,MID,Chelsea,10.5,0,3,97,0,54.7,182,0.62,3.03,2.41,1.11,54,2,4,28.6,149.0,2024-09-28T14:00:00Z,90,False,5,0,0,0,0,6,0,4079413,1,2,4,82,25,-43652,223471,267123,106,True,0,6,22.62398015873016
Kevin Schade,MID,Brentford,6.2,1,3,85,0,13.1,106,0.35,1.6,1.25,0.88,121,1,3,23.7,128.6,2024-11-30T15:00:00Z,69,False,11,0,0,0,0,13,0,8086,1,1,4,95,23,-444,155,599,51,True,0,13,22.468806637806644
Justin Kluivert,MID,Bournemouth,0.0,1,3,79,0,38.5,71,0.11,0.33,0.22,0.79,218,1,3,20.6,122.0,2025-01-18T12:30:00Z,90,False,15,0,0,0,0,22,0,349371,1,4,1,45,22,-9728,22257,31985,55,False,1,22,22.088869047619056
Bryan Mbeumo,MID,Brentford,8.5,1,3,73,1,66.7,99,0.48,1.76,1.28,0.29,198,0,2,23.2,105.0,2025-01-04T15:00:00Z,90,False,17,0,0,0,0,20,0,3441794,1,5,0,60,19,295363,402589,107226,77,False,0,20,19.530810606060605
Amad Diallo,MID,Man Utd,7.5,0,3,80,0,39.1,364,0.38,1.81,1.43,1.52,209,1,3,23.8,115.0,2025-01-16T20:00:00Z,90,False,17,0,0,0,0,21,0,2004794,1,1,3,84,20,382956,453557,70601,54,True,0,21,19.493762987012985
Erling Haaland,FWD,Man City,14.7,0,3,93,0,11.1,351,0.11,1.82,1.71,0.73,30,1,3,18.4,106.8,2024-08-31T16:30:00Z,90,False,19,0,0,0,0,3,0,6054723,1,3,1,66,17,566889,642719,75830,151,False,0,3,18.468087301587307
Alexander Isak,FWD,Newcastle,8.3,0,3,92,1,29.7,401,0.2,1.73,1.53,0.63,166,0,3,23.4,111.4,2024-12-21T15:00:00Z,72,False,10,0,0,0,0,17,0,3361670,1,4,0,93,17,677156,690922,13766,88,False,0,17,18.188306637806637
